Date,Description,Amount,Type
2023-03-24,"Paystack Transfer: Client Payment",215096,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-11,"Coworking Space Lekki",-60000,expense
2023-03-11,"Netflix Subscription",-4500,expense
2023-03-11,"DSTV Premium",-29500,expense
2023-03-24,"Paystack Transfer: Client Payment",166697,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-24,"Paystack Transfer: Client Payment",198123,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-13,"Dominos Pizza",-21782,expense
2023-03-13,"GTBank Trf: Mom",-24035,expense
2023-03-13,"Coworking Space Lekki",-60000,expense
2023-03-24,"Paystack Transfer: Client Payment",461523,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-24,"Paystack Transfer: Client Payment",241573,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-15,"Upwork Inc.",309759,income
2023-03-15,"Spectranet 4G LTE",-32262,expense
2023-03-15,"Netflix Subscription",-4500,expense
2023-03-24,"Paystack Transfer: Client Payment",182813,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-16,"Uber Ride",-2735,expense
2023-03-24,"Paystack Transfer: Client Payment",462988,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-17,"Eko Hotels & Suites",-144630,expense
2023-03-24,"Paystack Transfer: Client Payment",436501,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-18,"Vercel Inc.",-25000,expense
2023-03-18,"Bolt Trip",-2304,expense
2023-03-18,"Zoom Video Comms",-18000,expense
2023-03-24,"Paystack Transfer: Client Payment",346984,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-19,"Spar Nigeria",-31227,expense
2023-03-24,"Paystack Transfer: Client Payment",320088,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-20,"MainOne Cable",-45000,expense
2023-03-20,"Shoprite Lekki",-43201,expense
2023-03-20,"Bolt Trip",-1832,expense
2023-03-24,"Paystack Transfer: Client Payment",453347,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-24,"Paystack Transfer: Client Payment",219586,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-22,"Upwork Inc.",571465,income
2023-03-22,"Zoom Video Comms",-18000,expense
2023-03-24,"Paystack Transfer: Client Payment",213409,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-23,"Dominos Pizza",-10453,expense
2023-03-23,"Vercel Inc.",-25000,expense
2023-03-23,"Netflix Subscription",-4500,expense
2023-03-24,"Paystack Transfer: Client Payment",178569,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-24,"Shoprite Lekki",-34726,expense
2023-03-24,"Eko Hotels & Suites",-95665,expense
2023-03-24,"Vercel Inc.",-25000,expense
2023-03-24,"Paystack Transfer: Client Payment",374154,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-24,"Paystack Transfer: Client Payment",207122,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-26,"Dominos Pizza",-21117,expense
2023-03-24,"Paystack Transfer: Client Payment",406646,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-27,"Spectranet 4G LTE",-29406,expense
2023-03-24,"Paystack Transfer: Client Payment",313287,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-28,"Spar Nigeria",-30995,expense
2023-03-28,"Spectranet 4G LTE",-30945,expense
2023-03-28,"MainOne Cable",-45000,expense
2023-03-24,"Paystack Transfer: Client Payment",479298,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-29,"Upwork Inc.",511612,income
2023-03-29,"Coworking Space Lekki",-60000,expense
2023-03-29,"Shoprite Lekki",-61602,expense
2023-03-24,"Paystack Transfer: Client Payment",177012,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-30,"Dominos Pizza",-10522,expense
2023-03-24,"Paystack Transfer: Client Payment",411648,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",467111,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-01,"Zoom Video Comms",-18000,expense
2023-04-01,"Shoprite Lekki",-28230,expense
2023-04-24,"Paystack Transfer: Client Payment",356147,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",243733,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",278523,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-04,"Fuel - Total",-22090,expense
2023-04-04,"Spar Nigeria",-34611,expense
2023-04-24,"Paystack Transfer: Client Payment",240648,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-05,"Upwork Inc.",599136,income
2023-04-05,"Uber Ride",-2763,expense
2023-04-24,"Paystack Transfer: Client Payment",364227,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",393058,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-07,"Spectranet 4G LTE",-21383,expense
2023-04-24,"Paystack Transfer: Client Payment",457118,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-08,"Eko Hotels & Suites",-115350,expense
2023-04-08,"Uber Ride",-3179,expense
2023-04-24,"Paystack Transfer: Client Payment",152945,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-09,"Fuel - Total",-17807,expense
2023-04-09,"Zoom Video Comms",-18000,expense
2023-04-24,"Paystack Transfer: Client Payment",160462,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-10,"Spar Nigeria",-13844,expense
2023-04-10,"Shoprite Lekki",-23052,expense
2023-04-10,"Dominos Pizza",-22420,expense
2023-04-24,"Paystack Transfer: Client Payment",434303,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-11,"Eko Hotels & Suites",-106388,expense
2023-04-11,"Uber Ride",-2463,expense
2023-04-11,"DSTV Premium",-29500,expense
2023-04-24,"Paystack Transfer: Client Payment",300360,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-12,"Upwork Inc.",595993,income
2023-04-24,"Paystack Transfer: Client Payment",328915,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",302958,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-14,"Eko Hotels & Suites",-86643,expense
2023-04-14,"Netflix Subscription",-4500,expense
2023-04-24,"Paystack Transfer: Client Payment",175671,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-15,"Dominos Pizza",-18248,expense
2023-04-15,"GTBank Trf: Mom",-31528,expense
2023-04-24,"Paystack Transfer: Client Payment",155438,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-16,"Netflix Subscription",-4500,expense
2023-04-16,"DSTV Premium",-29500,expense
2023-04-16,"Eko Hotels & Suites",-54481,expense
2023-04-24,"Paystack Transfer: Client Payment",336410,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",328425,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-18,"Bolt Trip",-4067,expense
2023-04-24,"Paystack Transfer: Client Payment",237415,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-19,"Upwork Inc.",488395,income
2023-04-19,"GTBank Trf: Mom",-41247,expense
2023-04-19,"DSTV Premium",-29500,expense
2023-04-19,"Bolt Trip",-2482,expense
2023-04-24,"Paystack Transfer: Client Payment",347679,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-20,"Vercel Inc.",-25000,expense
2023-04-24,"Paystack Transfer: Client Payment",468516,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-21,"Eko Hotels & Suites",-118444,expense
2023-04-24,"Paystack Transfer: Client Payment",362153,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-22,"MainOne Cable",-45000,expense
2023-04-22,"Uber Ride",-3916,expense
2023-04-24,"Paystack Transfer: Client Payment",330296,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",317679,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",179737,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-25,"Coworking Space Lekki",-60000,expense
2023-04-24,"Paystack Transfer: Client Payment",406372,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-26,"Upwork Inc.",638265,income
2023-04-26,"Shoprite Lekki",-35164,expense
2023-04-26,"DSTV Premium",-29500,expense
2023-04-26,"Eko Hotels & Suites",-96142,expense
2023-04-24,"Paystack Transfer: Client Payment",229323,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-24,"Paystack Transfer: Client Payment",325301,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-28,"Dominos Pizza",-11150,expense
2023-04-28,"Spar Nigeria",-12115,expense
2023-04-28,"Shoprite Lekki",-46595,expense
2023-04-24,"Paystack Transfer: Client Payment",395017,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-29,"Eko Hotels & Suites",-148988,expense
2023-04-29,"Dominos Pizza",-13425,expense
2023-04-29,"Coworking Space Lekki",-60000,expense
2023-04-24,"Paystack Transfer: Client Payment",256603,income
2023-04-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-04-30,"Vercel Inc.",-25000,expense
2023-04-30,"DSTV Premium",-29500,expense
2023-04-30,"Shoprite Lekki",-49705,expense
2023-05-24,"Paystack Transfer: Client Payment",339048,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-01,"Dominos Pizza",-8590,expense
2023-05-01,"Fuel - Total",-20325,expense
2023-05-24,"Paystack Transfer: Client Payment",460767,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-24,"Paystack Transfer: Client Payment",292143,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-03,"Upwork Inc.",618230,income
2023-05-03,"Eko Hotels & Suites",-102514,expense
2023-05-03,"Netflix Subscription",-4500,expense
2023-05-24,"Paystack Transfer: Client Payment",299267,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-04,"Vercel Inc.",-25000,expense
2023-05-24,"Paystack Transfer: Client Payment",287457,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-24,"Paystack Transfer: Client Payment",265281,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-06,"Uber Ride",-4880,expense
2023-05-24,"Paystack Transfer: Client Payment",174315,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-07,"Fuel - Total",-18427,expense
2023-05-07,"DSTV Premium",-29500,expense
2023-05-24,"Paystack Transfer: Client Payment",484892,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-08,"MainOne Cable",-45000,expense
2023-05-08,"Dominos Pizza",-9733,expense
2023-05-08,"Uber Ride",-5086,expense
2023-05-24,"Paystack Transfer: Client Payment",212841,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-09,"Spar Nigeria",-44239,expense
2023-05-24,"Paystack Transfer: Client Payment",210896,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-10,"Upwork Inc.",369582,income
2023-05-10,"DSTV Premium",-29500,expense
2023-05-10,"Uber Ride",-3849,expense
2023-05-10,"Vercel Inc.",-25000,expense
2023-05-24,"Paystack Transfer: Client Payment",378273,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-11,"Spar Nigeria",-38639,expense
2023-05-11,"MainOne Cable",-45000,expense
2023-05-11,"Shoprite Lekki",-71864,expense
2023-05-24,"Paystack Transfer: Client Payment",449984,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-12,"Uber Ride",-2749,expense
2023-05-12,"Bolt Trip",-3402,expense
2023-05-12,"DSTV Premium",-29500,expense
2023-05-24,"Paystack Transfer: Client Payment",408311,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-13,"MainOne Cable",-45000,expense
2023-05-13,"Vercel Inc.",-25000,expense
2023-05-13,"Spectranet 4G LTE",-21034,expense
2023-05-24,"Paystack Transfer: Client Payment",338235,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-24,"Paystack Transfer: Client Payment",451027,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-15,"Shoprite Lekki",-52819,expense
2023-05-24,"Paystack Transfer: Client Payment",299925,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-16,"Dominos Pizza",-23935,expense
2023-05-24,"Paystack Transfer: Client Payment",322467,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-17,"Upwork Inc.",301602,income
2023-05-17,"Spar Nigeria",-45358,expense
2023-05-17,"GTBank Trf: Mom",-39330,expense
2023-05-24,"Paystack Transfer: Client Payment",271386,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-18,"Coworking Space Lekki",-60000,expense
2023-05-18,"Dominos Pizza",-23590,expense
2023-05-18,"Vercel Inc.",-25000,expense
2023-05-24,"Paystack Transfer: Client Payment",299491,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-19,"Fuel - Total",-19900,expense
2023-05-19,"GTBank Trf: Mom",-48510,expense
2023-05-19,"Spectranet 4G LTE",-32875,expense
2023-05-24,"Paystack Transfer: Client Payment",330659,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-20,"Dominos Pizza",-9595,expense
2023-05-24,"Paystack Transfer: Client Payment",407897,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-21,"Fuel - Total",-24225,expense
2023-05-21,"Bolt Trip",-3334,expense
2023-05-21,"Uber Ride",-2624,expense
2023-05-24,"Paystack Transfer: Client Payment",213707,income
2023-05-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-05-22,"Vercel Inc.",-25000,expense
2023-05-22,"MainOne Cable",-45000,expense
